dens densp densn dense densm mup mun mue xm vsigma vomega vrho E Eh El P Ph Pl
0.00689533 9.60152e-06 0.00688574 9.59042e-06 0 929.555 942.535 12.98 918.021 0.0223415 0.0152497 -0.00612839 6.49133 6.49124 9.34346e-05 0.00777148 0.00774043 3.10488e-05
0.00694529 1.05843e-05 0.00693554 9.74988e-06 0 929.495 942.547 13.0514 917.872 0.0225004 0.0153601 -0.00617239 6.53918 6.53908 9.55101e-05 0.00785971 0.00782797 3.17396e-05
0.00699525 1.07459e-05 0.00698533 9.92256e-06 0 929.43 942.558 13.1279 917.723 0.0226593 0.0154704 -0.00621637 6.58626 6.58616 9.77704e-05 0.00793851 0.00790602 3.24919e-05
0.00704521 1.0908e-05 0.00703511 1.00971e-05 0 929.365 942.569 13.2043 917.574 0.0228181 0.0155808 -0.00626033 6.63333 6.63323 0.000100068 0.00801755 0.00798429 3.32567e-05
0.00709517 1.10721e-05 0.0070849 1.02734e-05 0 929.3 942.58 13.2806 917.425 0.0229769 0.0156912 -0.00630429 6.68041 6.68031 0.000102403 0.00809685 0.00806281 3.40339e-05
0.00714513 1.12381e-05 0.00713468 1.04516e-05 0 929.235 942.592 13.3568 917.276 0.0231356 0.0158015 -0.00634824 6.7275 6.72739 0.000104776 0.00817641 0.00814158 3.48238e-05
0.00719509 1.14061e-05 0.00718446 1.06316e-05 0 929.17 942.603 13.433 917.127 0.0232943 0.0159119 -0.00639218 6.77458 6.77447 0.000107188 0.00825623 0.0082206 3.56264e-05
0.00724505 1.1576e-05 0.00723424 1.08135e-05 0 929.105 942.614 13.509 916.978 0.023453 0.0160223 -0.00643611 6.82166 6.82155 0.000109638 0.0083363 0.00829986 3.64418e-05
0.00729501 1.17479e-05 0.00728402 1.09972e-05 0 929.04 942.625 13.585 916.829 0.0236116 0.0161326 -0.00648003 6.86874 6.86863 0.000112126 0.00841663 0.00837936 3.72702e-05
0.00734497 1.19217e-05 0.00733379 1.11828e-05 0 928.975 942.636 13.6609 916.68 0.0237702 0.016243 -0.00652395 6.91582 6.91571 0.000114654 0.00849723 0.00845912 3.81117e-05
0.00739493 1.20976e-05 0.00738356 1.13702e-05 0 928.91 942.647 13.7367 916.531 0.0239287 0.0163533 -0.00656785 6.96291 6.96279 0.000117222 0.00857808 0.00853911 3.89664e-05
0.00744489 1.22754e-05 0.00743333 1.15595e-05 0 928.845 942.658 13.8124 916.382 0.0240873 0.0164637 -0.00661175 7.00999 7.00987 0.00011983 0.0086592 0.00861936 3.98344e-05
0.00749485 1.24552e-05 0.0074831 1.17507e-05 0 928.781 942.669 13.888 916.233 0.0242457 0.016574 -0.00665563 7.05708 7.05696 0.000122478 0.00874058 0.00869986 4.07158e-05
0.00754481 1.2637e-05 0.00753287 1.19437e-05 0 928.716 942.68 13.9635 916.084 0.0244042 0.0166844 -0.00669951 7.10416 7.10404 0.000125166 0.00882222 0.0087806 4.16108e-05
